nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution

205,79,80,1224,252,2,1,208.70535,5.748

563,79,13,3790,745,2,1,163.380667,11.686

651,25,41,1589,584,0,1,241.453156,23.157

659,74,6,1429,516,0,0,248.541789,7.558

1771,81,23,1009,504,0,1,250.394369,13.701

797,44,32,3995,1122,0,0,210.207593,26.169

1745,65,35,4450,1509,0,0,198.956649,50.445

1860,62,54,4129,206,2,0,158.81332,61.221

1947,28,62,202,23,1,1,273.323813,24.249

151,79,69,4304,27,2,1,169.246735,7.906

553,73,85,1175,272,1,1,197.579491,7.732

1309,43,54,526,26,0,1,268.289496,20.604

446,40,94,2261,910,0,0,221.336329,10.162

1148,91,39,4607,345,1,0,157.104123,17.448

1306,38,2,2703,316,2,1,169.01071,89.152

1319,85,78,3074,1229,0,1,211.12402,18.494

1889,38,44,1309,551,0,0,234.274641,44.303

1093,96,62,534,14,1,0,237.467534,8.538

273,36,28,904,360,1,1,229.081147,6.733

1662,50,91,2748,1180,0,1,222.944511,96.116

395,9,40,3954,1414,2,0,191.931392,17.477

468,45,63,3086,186,1,0,177.303972,12.183

774,68,8,3226,1059,1,0,174.614954,13.794

478,62,59,3300,456,0,1,217.404622,13.046

544,10,35,3673,1679,0,0,220.481245,25.513

685,77,21,4333,323,1,0,173.434942,13.095

985,12,35,3457,491,2,1,172.796888,124.41

1746,34,26,861,310,0,0,254.068887,29.96

1238,6,51,2117,938,0,1,232.01094,134.723

1332,31,22,1462,438,2,0,189.744843,32.445

708,97,76,4898,1413,1,0,156.824384,12.313

1913,16,55,206,87,2,1,277.6551,29.391

285,13,10,661,58,2,0,254.402482,6.217

1195,68,63,3166,416,1,1,166.455676,33.722

1706,55,64,2017,885,0,0,228.161244,34.678

1099,30,10,3311,869,1,0,161.679584,49.336

1193,80,80,4957,1592,2,1,155.340807,30.619

208,38,32,2549,1196,1,1,188.38185,7.84

1934,95,27,1223,37,2,0,179.697472,11.94

1328,81,59,1968,50,1,1,185.832617,18.768

1863,45,71,3873,1217,0,0,209.486017,96.18

620,43,64,2629,1289,2,1,179.081543,22.755

1876,56,87,2746,203,0,1,216.368313,98.707

1326,3,33,3495,1507,1,0,195.258006,124.3

1594,32,23,3552,500,0,0,206.448448,95.618

390,58,37,3064,1090,2,1,173.349289,11.307

1565,53,57,4524,590,0,1,206.084993,126.306

1992,99,90,2169,1058,1,0,181.384366,14.886

1575,12,16,4407,115,2,0,161.350307,182.753

1722,32,84,4442,1567,1,0,158.529375,137.76

375,13,27,1805,44,1,0,211.606073,10.426

1749,2,37,1248,270,2,1,230.573332,171.315

470,18,54,2034,923,1,1,184.945678,20.177

1327,73,59,3856,962,1,0,160.733185,25.205

610,82,24,1718,629,0,1,240.187496,8.01

1474,23,99,2155,837,2,0,179.031448,68.534

1258,37,97,1341,364,2,0,196.171152,24.849

125,69,52,4349,969,2,0,164.325834,6.201

274,86,46,1378,22,1,1,203.615744,6.603

854,62,12,2834,1250,1,1,179.759085,23.008

1571,9,40,3250,1568,0,0,222.87647,144.006

1063,91,27,1670,55,1,0,193.092445,9.912

1966,69,63,1262,492,2,0,197.672689,19.616

1903,62,87,2612,1203,1,1,169.848915,76.24

1851,31,59,4770,2290,0,1,203.006376,365.003

792,10,78,4142,24,0,1,213.342086,112.141

1615,45,79,4700,874,1,1,156.965439,184.504

902,72,81,170,33,2,0,279.820388,6.017

571,9,82,2743,1346,2,0,183.932233,22.096

926,36,53,3940,1303,0,0,203.356228,38.137

878,11,65,1070,99,0,0,261.86537,19.802

1978,4,49,3576,664,2,0,170.966613,268.25

184,98,93,3724,20,1,1,190.175988,9.185

705,81,72,4486,1744,1,1,155.568376,15.18

616,75,72,1114,469,2,0,202.457818,7.012

1668,45,26,2055,39,0,1,223.755398,90.021

538,38,46,591,232,1,1,234.504626,8.642

468,72,13,2581,675,2,0,178.890478,8.2

995,53,50,107,46,0,1,341.860032,6.461

400,10,42,4560,2170,0,0,209.322127,19.562

933,99,91,1232,312,2,0,203.428568,7.714

251,31,94,2944,1137,0,0,224.973904,8.061

163,90,54,4992,2031,0,1,207.906724,6.584

1041,12,63,3254,310,0,1,211.422598,131.232

1224,28,73,1380,677,0,1,245.50293,56.937

1068,13,17,4322,1369,1,1,170.585536,177.675

724,4,98,3067,302,2,1,174.990512,77.296

943,53,96,906,365,2,1,208.68186,15.48

1993,27,8,2296,877,1,0,181.284105,109.74

198,9,22,286,35,1,1,278.71997,5.576

1368,8,43,3201,163,0,0,220.87446,114.477

1335,12,12,3299,1298,1,0,184.164604,102.788

1510,8,61,2287,898,0,0,231.052984,98.853

1773,62,16,181,26,1,1,271.660926,9.794

1280,76,20,4016,775,2,1,164.746661,33.405

236,25,98,4426,1247,2,1,169.830362,13.222

1685,75,72,4751,378,2,1,150.000921,61.724

500,40,87,1362,594,0,1,247.489733,11.781

173,70,77,249,105,0,0,314.917009,5.207

1349,65,17,2808,198,0,0,218.021151,24.212

1353,88,95,4861,2341,1,1,153.309552,25.075

796,8,90,2521,875,0,0,229.773249,34.611

1330,84,51,4519,2080,1,0,159.179708,21.381

840,77,10,4249,1331,2,0,171.954596,15.407

380,60,61,3857,593,0,1,217.513263,11.777

1848,41,54,3342,1170,0,1,215.751286,194.005

399,75,96,4494,284,2,1,163.76773,11.174

389,71,81,3471,711,2,0,180.627131,8.583

640,80,78,3968,691,1,1,164.508311,13.446

927,32,2,3047,1388,0,0,204.359503,33.431

546,37,3,2713,1120,2,1,177.882478,22.173

499,11,79,1429,488,2,0,211.741139,11.649

